"Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","Algoritmo","Fecha"
"source(archivo_algoritmo,local=TRUE)",2.63999999999999,14.8,42.8,"CSCLP.R",2026-03-31 12:18:41.589827
"source(archivo_algoritmo,local=TRUE)",2.10999999999999,14.5,39.3,"KM-MILP.R",2026-04-05 20:49:35.603526
"source(archivo_algoritmo,local=TRUE)",0.340000000000146,0.199999999999996,5.6,"HCAKC.R",2026-04-15 21:53:03.725832
"source(archivo_algoritmo,local=TRUE)",0.269999999998618,0.200000000000003,11.4,"Kmedoids.R",2026-04-15 22:01:32.980587
"source(archivo_algoritmo,local=TRUE)",5.33000000000175,0.299999999999997,50.2,"Bat.R",2026-04-15 22:05:33.605135
"source(archivo_algoritmo,local=TRUE)",3.87,16.7,34,"Kmedoids.R",2026-05-04 02:47:10.796045
"source(archivo_algoritmo,local=TRUE)",3.98,16.7,34.1,"HCAKC.R",2026-05-04 02:47:11.046865
"source(archivo_algoritmo,local=TRUE)",4.18,16.8,52.1,"CSCLP.R",2026-05-04 02:47:11.12706
"source(archivo_algoritmo,local=TRUE)",4.07,16.8,44.1,"SCK1_final.R",2026-05-04 02:47:11.166905
"source(archivo_algoritmo,local=TRUE)",4.4,16.8,57.7,"KM-MILP.R",2026-05-04 02:47:11.409205
"source(archivo_algoritmo,local=TRUE)",6.73,17.6,57.7,"PSO.R",2026-05-04 02:47:13.495345
"source(archivo_algoritmo,local=TRUE)",9.71,16.9,57.7,"Bat.R",2026-05-04 02:47:16.481325
"source(archivo_algoritmo,local=TRUE)",23.28,15.4,57.7,"ACO.R",2026-05-04 02:47:30.027355
"source(archivo_algoritmo,local=TRUE)",2.27999999999997,14.9,38.1,"SCK1_final.R",2026-05-04 21:26:53.041148
"source(archivo_algoritmo,local=TRUE)",27.25,0.200000000000003,38.5,"ACO.R",2026-05-04 21:39:02.223672
"source(archivo_algoritmo,local=TRUE)",3.76999999999998,1.5,38.1,"PSO.R",2026-05-04 21:41:20.795069
"source(archivo_algoritmo,local=TRUE)",27.44,15.1,56,"ACO.R",2026-05-05 03:27:13.097548
"source(archivo_algoritmo,local=TRUE)",4.28,16.7,34,"Kmedoids.R",2026-05-05 03:30:05.440791
"source(archivo_algoritmo,local=TRUE)",4.32,16.7,34.1,"HCAKC.R",2026-05-05 03:30:05.512379
"source(archivo_algoritmo,local=TRUE)",4.54,16.8,52.1,"CSCLP.R",2026-05-05 03:30:05.667622
"source(archivo_algoritmo,local=TRUE)",4.47,16.8,44.1,"SCK1_final.R",2026-05-05 03:30:05.667448
"source(archivo_algoritmo,local=TRUE)",4.8,16.8,57.7,"KM-MILP.R",2026-05-05 03:30:05.891206
"source(archivo_algoritmo,local=TRUE)",6.47,17.6,57.7,"PSO.R",2026-05-05 03:30:07.437076
"source(archivo_algoritmo,local=TRUE)",9.56,16.9,57.7,"Bat.R",2026-05-05 03:30:10.491994
"source(archivo_algoritmo,local=TRUE)",23.83,15.4,57.8,"ACO.R",2026-05-05 03:30:24.737537
