timestamp,phase,model,modalidad,dataset,status,elapsed_s,harvested,missing,missing_algos
2026-07-05T06:09:25.690400,1,clip,imagen,lfw,OK,104.1,8,0,
2026-07-05T06:12:00.496035,1,clip,imagen,bloodmnist,OK,154.5,8,0,
2026-07-05T06:16:23.761459,1,clip,imagen,stl10,OK,262.9,8,0,
2026-07-05T06:24:15.514219,1,clip,imagen,pathmnist,OK,471.4,8,0,
2026-07-05T06:33:49.883666,1,clip,imagen,oxfordpet,OK,574.0,8,0,
2026-07-05T06:43:46.145321,1,clip,imagen,organcmnist,OK,595.8,8,0,
2026-07-05T06:55:43.448336,1,clip,imagen,organsmnist,OK,716.8,8,0,
2026-07-05T07:08:24.351813,1,clip,imagen,usps,OK,760.4,8,0,
2026-07-05T07:22:55.720831,1,clip,imagen,cifar100,OK,870.7,8,0,
2026-07-05T07:36:56.462599,1,clip,imagen,cifar10,OK,840.1,8,0,
2026-07-05T07:50:43.648356,1,clip,imagen,fashionmnist,OK,826.5,8,0,
2026-07-05T08:04:45.883219,1,clip,imagen,mnist,OK,841.7,8,0,
2026-07-05T08:05:02.462827,1,blip,imagen,orl,OK,16.1,8,0,
2026-07-05T08:05:59.272329,1,blip,imagen,semeion,OK,56.5,8,0,
2026-07-05T08:06:56.765708,1,blip,imagen,retinamnist,OK,57.2,8,0,
2026-07-05T08:08:00.745804,1,blip,imagen,digits,OK,63.7,8,0,
2026-07-05T08:09:17.085901,1,blip,imagen,dermamnist,OK,76.0,8,0,
2026-07-05T08:10:55.878648,1,blip,imagen,lfw,OK,98.4,8,0,
2026-07-05T08:13:21.881964,1,blip,imagen,bloodmnist,OK,145.7,8,0,
2026-07-05T08:17:32.804279,1,blip,imagen,stl10,OK,250.5,8,0,
2026-07-05T08:25:02.155032,1,blip,imagen,pathmnist,OK,448.9,8,0,
2026-07-05T08:34:18.954509,1,blip,imagen,oxfordpet,OK,556.4,8,0,
2026-07-05T08:43:31.091855,1,blip,imagen,organcmnist,OK,551.7,8,0,
2026-07-05T08:54:33.650302,1,blip,imagen,organsmnist,OK,662.0,8,0,
2026-07-05T09:06:20.620139,1,blip,imagen,usps,OK,706.4,8,0,
2026-07-05T09:20:26.137215,1,blip,imagen,cifar100,OK,844.9,8,0,
2026-07-05T09:33:56.453588,1,blip,imagen,cifar10,OK,809.7,8,0,
2026-07-05T09:46:49.634678,1,blip,imagen,fashionmnist,OK,772.6,8,0,
2026-07-05T10:00:01.341324,1,blip,imagen,mnist,OK,791.1,8,0,
2026-07-05T10:29:55.076901,1,qwen_vl,imagen,orl,OK,17.1,8,0,
2026-07-05T10:31:59.575398,1,qwen_vl,imagen,semeion,OK,124.0,8,0,
2026-07-05T10:34:09.677021,1,qwen_vl,imagen,retinamnist,OK,129.6,8,0,
2026-07-05T10:36:32.220155,1,qwen_vl,imagen,digits,OK,142.0,8,0,
2026-07-05T10:39:27.569726,1,qwen_vl,imagen,dermamnist,OK,174.8,8,0,
2026-07-05T10:43:13.889398,1,qwen_vl,imagen,lfw,OK,225.7,8,0,
2026-07-05T10:48:38.224626,1,qwen_vl,imagen,bloodmnist,OK,323.7,8,0,
2026-07-05T10:57:50.458158,1,qwen_vl,imagen,stl10,OK,551.6,8,0,
2026-07-05T11:14:06.381631,1,qwen_vl,imagen,pathmnist,OK,975.0,8,0,
2026-07-05T11:33:20.074343,1,qwen_vl,imagen,oxfordpet,OK,1152.9,8,0,
2026-07-05T11:53:18.210435,1,qwen_vl,imagen,organcmnist,OK,1197.2,8,0,
2026-07-05T12:16:24.333087,1,qwen_vl,imagen,organsmnist,OK,1385.2,8,0,
2026-07-05T12:40:23.128218,1,qwen_vl,imagen,usps,OK,1439.1,8,0,
2026-07-05T13:15:07.543445,1,qwen_vl,imagen,cifar100,OK,2082.8,8,0,
2026-07-05T13:48:55.634611,1,qwen_vl,imagen,cifar10,OK,2026.7,8,0,
2026-07-05T14:43:31.302890,1,qwen_vl,imagen,fashionmnist,OK,3283.4,8,0,
2026-07-05T15:01:23.145617,1,qwen_vl,imagen,mnist,OK,1071.2,8,0,
2026-07-05T15:01:44.441736,1,internvl,imagen,orl,OK,20.8,8,0,
2026-07-05T15:02:50.200980,1,internvl,imagen,semeion,OK,65.5,8,0,
2026-07-05T15:03:55.207283,1,internvl,imagen,retinamnist,OK,64.6,8,0,
2026-07-05T15:05:09.377050,1,internvl,imagen,digits,OK,73.8,8,0,
2026-07-05T15:06:37.228593,1,internvl,imagen,dermamnist,OK,87.6,8,0,
2026-07-05T15:08:38.466304,1,internvl,imagen,lfw,OK,120.7,8,0,
2026-07-05T15:11:34.726747,1,internvl,imagen,bloodmnist,OK,175.9,8,0,
2026-07-05T15:16:50.436928,1,internvl,imagen,stl10,OK,315.3,8,0,
2026-07-05T15:26:30.909248,1,internvl,imagen,pathmnist,OK,579.8,8,0,
2026-07-05T15:37:33.911776,1,internvl,imagen,oxfordpet,OK,662.5,8,0,
2026-07-05T15:49:32.024249,1,internvl,imagen,organcmnist,OK,717.6,8,0,
2026-07-05T16:03:15.888505,1,internvl,imagen,organsmnist,OK,823.3,8,0,
2026-07-05T16:18:08.419133,1,internvl,imagen,usps,OK,891.9,8,0,
2026-07-05T16:36:46.167989,1,internvl,imagen,cifar100,OK,1117.1,8,0,
2026-07-05T16:53:55.947514,1,internvl,imagen,cifar10,OK,1029.1,8,0,
2026-07-05T17:11:08.764178,1,internvl,imagen,fashionmnist,OK,1032.1,8,0,
2026-07-05T17:27:35.755135,1,internvl,imagen,mnist,OK,986.3,8,0,
