timestamp,model,modalidad,algorithm,elapsed_s,peak_ram_MB
2026-07-04T15:07:28.779243,clip,texto,PSO,234.4884,164.05
2026-07-04T15:07:28.782247,clip,texto,HCAKC,267.913,177.48
2026-07-04T15:07:28.786250,clip,texto,KM-MILP,117.2237,177.7
2026-07-04T15:07:28.788243,clip,texto,SCK1,53.8102,173.23
2026-07-04T15:19:45.643082,clip,texto,BAT,470.1993,170.45
2026-07-04T15:19:45.685253,clip,texto,CSCLP,70.6343,167.63
2026-07-04T15:19:45.688244,clip,texto,Kmedoids,70.9527,164.18
2026-07-04T15:19:45.689856,clip,texto,ACO,731.0666,170.14
2026-07-04T15:19:45.689856,clip,texto,PSO,203.9311,162.85
2026-07-04T15:19:45.689856,clip,texto,HCAKC,295.4205,176.55
2026-07-04T15:19:45.689856,clip,texto,KM-MILP,74.716,172.58
2026-07-04T15:19:45.689856,clip,texto,SCK1,47.4754,168.81
2026-07-04T15:35:14.738292,clip,texto,BAT,619.3897,173.27
2026-07-04T15:35:14.773176,clip,texto,CSCLP,122.3666,163.45
2026-07-04T15:35:14.779508,clip,texto,Kmedoids,121.9868,163.32
2026-07-04T15:35:14.781762,clip,texto,ACO,923.324,173.04
2026-07-04T15:35:14.783763,clip,texto,PSO,278.12,163.52
2026-07-04T15:35:14.785762,clip,texto,HCAKC,366.9129,163.44
2026-07-04T15:35:14.788353,clip,texto,KM-MILP,138.7403,163.2
2026-07-04T15:35:14.792426,clip,texto,SCK1,70.874,173.28
2026-07-04T15:51:30.297015,clip,texto,BAT,608.8287,172.46
2026-07-04T15:51:30.341020,clip,texto,CSCLP,92.1065,172.43
2026-07-04T15:51:30.344020,clip,texto,Kmedoids,90.7293,166.91
2026-07-04T15:51:30.348030,clip,texto,ACO,969.2663,173.23
2026-07-04T15:51:30.351024,clip,texto,PSO,277.7463,163.68
2026-07-04T15:51:30.355027,clip,texto,HCAKC,395.373,163.02
2026-07-04T15:51:30.358021,clip,texto,KM-MILP,112.0908,175.44
2026-07-04T15:51:30.361015,clip,texto,SCK1,71.4951,173.02
2026-07-04T16:09:54.483801,clip,texto,BAT,736.5087,173.0
2026-07-04T16:09:54.518806,clip,texto,CSCLP,228.3735,162.86
2026-07-04T16:09:54.522810,clip,texto,Kmedoids,222.1936,163.33
2026-07-04T16:09:54.524815,clip,texto,ACO,1096.5772,173.09
2026-07-04T16:09:54.526821,clip,texto,PSO,292.0156,163.31
2026-07-04T16:09:54.528805,clip,texto,HCAKC,538.2731,163.35
2026-07-04T16:09:54.531808,clip,texto,KM-MILP,239.9805,163.19
2026-07-04T16:09:54.533820,clip,texto,SCK1,103.3184,163.14
2026-07-04T16:24:53.567350,clip,texto,BAT,607.7893,172.96
2026-07-04T16:24:53.605878,clip,texto,CSCLP,178.5875,163.09
2026-07-04T16:24:53.608876,clip,texto,Kmedoids,174.211,163.55
2026-07-04T16:24:53.610889,clip,texto,ACO,891.8355,173.05
2026-07-04T16:24:53.612901,clip,texto,PSO,311.1704,163.43
2026-07-04T16:24:53.614913,clip,texto,HCAKC,379.2932,163.04
2026-07-04T16:24:53.616927,clip,texto,KM-MILP,186.0371,167.26
2026-07-04T16:24:53.618941,clip,texto,SCK1,85.3832,167.43
2026-07-04T16:25:43.480624,blip,texto,BAT,24.3131,158.98
2026-07-04T16:25:43.492163,blip,texto,CSCLP,1.3369,150.58
2026-07-04T16:25:43.494165,blip,texto,Kmedoids,1.0769,146.68
2026-07-04T16:25:43.496177,blip,texto,ACO,43.7332,162.33
2026-07-04T16:25:43.498182,blip,texto,PSO,4.8287,148.15
2026-07-04T16:25:43.500150,blip,texto,HCAKC,5.2652,160.37
2026-07-04T16:25:43.502173,blip,texto,KM-MILP,4.2792,157.5
2026-07-04T16:25:43.504185,blip,texto,SCK1,0.9754,154.92
2026-07-04T16:26:56.698761,blip,texto,BAT,33.415,161.34
2026-07-04T16:26:56.709797,blip,texto,CSCLP,1.7519,151.34
